250 2000 1
Fe
0 0 0 0 1.0 0.0 0.0 0.1284936 Fe adaptive
1 0.5 0.5 0.5 1.0 0.0 0.0 0.1284936 Fe adaptive
2 0 0 1 1.0 0.0 0.0 0.1284936 Fe adaptive
3 0.5 0.5 1.5 1.0 0.0 0.0 0.1284936 Fe adaptive
4 0 0 2 1.0 0.0 0.0 0.1284936 Fe adaptive
5 0.5 0.5 2.5 1.0 0.0 0.0 0.1284936 Fe adaptive
6 0 0 3 1.0 0.0 0.0 0.1284936 Fe adaptive
7 0.5 0.5 3.5 1.0 0.0 0.0 0.1284936 Fe adaptive
8 0 0 4 1.0 0.0 0.0 0.1284936 Fe adaptive
9 0.5 0.5 4.5 1.0 0.0 0.0 0.1284936 Fe adaptive
10 0 1 0 1.0 0.0 0.0 0.1284936 Fe adaptive
11 0.5 1.5 0.5 1.0 0.0 0.0 0.1284936 Fe adaptive
12 0 1 1 1.0 0.0 0.0 0.1284936 Fe adaptive
13 0.5 1.5 1.5 1.0 0.0 0.0 0.1284936 Fe adaptive
14 0 1 2 1.0 0.0 0.0 0.1284936 Fe adaptive
15 0.5 1.5 2.5 1.0 0.0 0.0 0.1284936 Fe adaptive
16 0 1 3 1.0 0.0 0.0 0.1284936 Fe adaptive
17 0.5 1.5 3.5 1.0 0.0 0.0 0.1284936 Fe adaptive
18 0 1 4 1.0 0.0 0.0 0.1284936 Fe adaptive
19 0.5 1.5 4.5 1.0 0.0 0.0 0.1284936 Fe adaptive
20 0 2 0 1.0 0.0 0.0 0.1284936 Fe adaptive
21 0.5 2.5 0.5 1.0 0.0 0.0 0.1284936 Fe adaptive
22 0 2 1 1.0 0.0 0.0 0.1284936 Fe adaptive
23 0.5 2.5 1.5 1.0 0.0 0.0 0.1284936 Fe adaptive
24 0 2 2 1.0 0.0 0.0 0.1284936 Fe adaptive
25 0.5 2.5 2.5 1.0 0.0 0.0 0.1284936 Fe adaptive
26 0 2 3 1.0 0.0 0.0 0.1284936 Fe adaptive
27 0.5 2.5 3.5 1.0 0.0 0.0 0.1284936 Fe adaptive
28 0 2 4 1.0 0.0 0.0 0.1284936 Fe adaptive
